Doctor_ID,Doctor_Name,Dept_ID
1,Dr. Sanjay Kapoor,5
2,Dr. Swati Iyer,8
3,Dr. Sanjay Kapoor,5
4,Dr. Neeta Desai,10
5,Dr. Swati Iyer,3
6,Dr. Ramesh Babu,2
7,Dr. Anjali Mehta,7
8,Dr. Arvind Menon,10
9,Dr. Anjali Mehta,9
10,Dr. Neeta Desai,7
11,Dr. Sanjay Kapoor,7
12,Dr. Vikram Rao,5
13,Dr. Mohan Reddy,9
14,Dr. Arvind Menon,10
15,Dr. Vikram Rao,7
16,Dr. Anjali Mehta,2
17,Dr. Swati Iyer,6
18,Dr. Sanjay Kapoor,5
19,Dr. Neeta Desai,7
20,Dr. Vikram Rao,1
21,Dr. Sanjay Kapoor,8
22,Dr. Ramesh Babu,2
23,Dr. Anjali Mehta,7
24,Dr. Mohan Reddy,7
25,Dr. Vikram Rao,7
26,Dr. Sanjay Kapoor,3
27,Dr. Preeti Sharma,3
28,Dr. Sanjay Kapoor,4
29,Dr. Lakshmi Nair,3
30,Dr. Mohan Reddy,2
31,Dr. Lakshmi Nair,10
32,Dr. Neeta Desai,3
33,Dr. Neeta Desai,1
34,Dr. Sanjay Kapoor,4
35,Dr. Vikram Rao,7
36,Dr. Lakshmi Nair,10
37,Dr. Anjali Mehta,3
38,Dr. Anjali Mehta,5
39,Dr. Anjali Mehta,7
40,Dr. Anjali Mehta,5
41,Dr. Anjali Mehta,6
42,Dr. Ramesh Babu,10
43,Dr. Neeta Desai,8
44,Dr. Lakshmi Nair,2
45,Dr. Ramesh Babu,1
46,Dr. Vikram Rao,1
47,Dr. Swati Iyer,1
48,Dr. Anjali Mehta,4
49,Dr. Mohan Reddy,1
50,Dr. Arvind Menon,10
